geo_code,date,numconfirmed,numtested
47,9,72,5604
47,10,86,6111
47,11,95,6729
47,12,104,7360
47,13,134,8009
47,14,134,8822
47,15,175,9372
47,16,184,9372
47,17,193,10202
47,18,206,11034
47,19,220,11720
47,20,231,12244
47,21,249,13055
47,22,253,13680
47,23,260,14203
47,24,271,15059
47,25,278,16059
47,26,285,16952
47,27,289,17716
47,28,298,18499
47,29,300,18995
47,30,301,19442
47,31,304,20013
47,32,305,20631
47,33,307,21212
47,34,307,21997
48,0,39,5247
48,1,56,10238
48,2,74,11487
48,3,97,13686
48,4,146,16507
48,5,195,19782
48,6,226,23060
48,7,259,26999
48,8,301,29757
48,9,358,32776
48,10,419,35508
48,11,486,36600
48,12,542,38215
48,13,542,38215
48,14,621,44097
48,15,690,46057
48,16,754,48692
48,17,754,53141
48,18,968,57096
48,19,1075,60508
48,20,1075,62520
48,21,1250,63315
48,22,1348,64183
48,23,1373,65265
48,24,1423,66783
48,25,1451,68116
48,26,1500,70080
48,27,1569,72779
48,28,1651,74709
48,29,1732,77007
48,30,1870,79695
48,31,1996,79695
48,32,2158,85502
48,33,2397,89144
48,34,2397,89144
60,0,0,0
60,1,0,0
60,2,0,0
60,3,0,0
60,4,0,0
60,5,0,0
60,6,0,416
60,7,0,416
60,8,2,416
60,9,2,416
60,10,3,416
60,11,3,416
60,12,3,603
60,13,4,641
60,14,4,678
60,15,5,688
60,16,5,702
60,17,5,722
60,18,6,742
60,19,6,753
60,20,6,765
60,21,6,770
60,22,7,775
60,23,7,787
60,24,7,794
60,25,8,806
60,26,8,806
60,27,8,815
60,28,8,815
60,29,8,832
60,30,8,835
60,31,8,841
60,32,8,849
60,33,9,852
60,34,9,852
62,0,0,6
62,1,0,7
62,2,0,7
62,3,0,7
62,4,0,8
62,5,0,8
62,6,0,10
62,7,0,13
62,8,0,13
62,9,0,81
62,10,0,97
62,11,0,116
62,12,0,125
62,13,0,125
62,14,0,125
62,15,0,158
62,16,0,167
62,17,0,183
62,18,0,193
62,19,0,207
62,20,0,207
62,21,0,227
62,22,0,229
62,23,0,234
62,24,0,240
62,25,0,247
62,26,0,261
62,27,0,261
62,28,0,264
62,29,0,264
62,30,0,264
62,31,0,264
62,32,0,275
62,33,0,286
62,34,0,286
